g,N,E0,E1,gap,xi_gap,xi_corr,i0,comp_i,comp_j,r,corr,abs_corr,log_abs_corr,rMin,rMax
0.9,35,-4.0686528665662,nan,nan,nan,0.5471148165139,17,0,0,4,2.3024206125163e-05,2.3024206125163e-05,-10.678964455238,1,8
0.9,35,-4.0686528665662,nan,nan,nan,0.5471148165139,17,0,0,5,4.2463688348275e-06,4.2463688348275e-06,-12.369446332034,1,8
0.9,35,-4.0686528665662,nan,nan,nan,0.5471148165139,17,0,0,6,8.7366491162682e-07,8.7366491162682e-07,-13.950568931114,1,8
0.9,35,-4.0686528665662,nan,nan,nan,0.5471148165139,17,0,0,7,1.9335514028513e-07,1.9335514028513e-07,-15.458737233857,1,8
0.9,35,-4.0686528665662,nan,nan,nan,0.5471148165139,17,0,0,8,4.492561537367e-08,4.492561537367e-08,-16.91825770657,1,8
1,35,-2.4533979974332,nan,nan,nan,0.40327423932008,17,0,0,1,0.023338173781044,0.023338173781044,-3.7576648993562,1,8
1,35,-2.4533979974332,nan,nan,nan,0.40327423932008,17,0,0,2,0.00060337281309388,0.00060337281309388,-7.4129752884462,1,8
1,35,-2.4533979974332,nan,nan,nan,0.40327423932008,17,0,0,3,3.9229992000787e-05,3.9229992000787e-05,-10.146069001648,1,8
1,35,-2.4533979974332,nan,nan,nan,0.40327423932008,17,0,0,4,3.240153775085e-06,3.240153775085e-06,-12.63988976784,1,8
1,35,-2.4533979974332,nan,nan,nan,0.40327423932008,17,0,0,5,3.1623465903243e-07,3.1623465903243e-07,-14.96678130707,1,8
1,35,-2.4533979974332,nan,nan,nan,0.40327423932008,17,0,0,6,3.3561111081621e-08,3.3561111081621e-08,-17.209897848577,1,8
1,35,-2.4533979974332,nan,nan,nan,0.40327423932008,17,0,0,7,3.7225346923887e-09,3.7225346923887e-09,-19.408861031766,1,8
1,35,-2.4533979974332,nan,nan,nan,0.40327423932008,17,0,0,8,4.2207730279603e-10,4.2207730279603e-10,-21.585832636687,1,8
1.1,35,-1.5030212733486,nan,nan,nan,0.32177540906739,17,0,0,1,0.020348297326313,0.020348297326313,-3.8947580400626,1,8
