g,N,E0,E1,gap,xi_gap,xi_corr,m_corr,i0,comp_i,comp_j,r,corr,abs_corr,log_abs_corr,rMin,rMax
0.9,50,-5.8630689741628,nan,nan,nan,1.5704774927257,0.63674901718229,12,2,2,10,0.00016746533235588,0.00016746533235588,-8.6947341991303,1,24
0.9,50,-5.8630689741628,nan,nan,nan,1.5704774927257,0.63674901718229,12,2,2,11,8.9087811398413e-05,8.9087811398413e-05,-9.3258880297203,1,24
0.9,50,-5.8630689741628,nan,nan,nan,1.5704774927257,0.63674901718229,12,2,2,12,4.7520008694028e-05,4.7520008694028e-05,-9.9543596999548,1,24
0.9,50,-5.8630689741628,nan,nan,nan,1.5704774927257,0.63674901718229,12,2,2,13,2.5397622072675e-05,2.5397622072675e-05,-10.580855007508,1,24
0.9,50,-5.8630689741628,nan,nan,nan,1.5704774927257,0.63674901718229,12,2,2,14,1.3593752298521e-05,1.3593752298521e-05,-11.205900260589,1,24
0.9,50,-5.8630689741628,nan,nan,nan,1.5704774927257,0.63674901718229,12,2,2,15,7.2836029734971e-06,7.2836029734971e-06,-11.829884904243,1,24
0.9,50,-5.8630689741628,nan,nan,nan,1.5704774927257,0.63674901718229,12,2,2,16,3.9056141159353e-06,3.9056141159353e-06,-12.453095523033,1,24
0.9,50,-5.8630689741628,nan,nan,nan,1.5704774927257,0.63674901718229,12,2,2,17,2.0954501123877e-06,2.0954501123877e-06,-13.075742176886,1,24
0.9,50,-5.8630689741628,nan,nan,nan,1.5704774927257,0.63674901718229,12,2,2,18,1.1247177992113e-06,1.1247177992113e-06,-13.69797839892,1,24
0.9,50,-5.8630689741628,nan,nan,nan,1.5704774927257,0.63674901718229,12,2,2,19,6.0386439377954e-07,6.0386439377954e-07,-14.319916177829,1,24
0.9,50,-5.8630689741628,nan,nan,nan,1.5704774927257,0.63674901718229,12,2,2,20,3.2428694544828e-07,3.2428694544828e-07,-14.941637078997,1,24
0.9,50,-5.8630689741628,nan,nan,nan,1.5704774927257,0.63674901718229,12,2,2,21,1.7417584473829e-07,1.7417584473829e-07,-15.563200446102,1,24
0.9,50,-5.8630689741628,nan,nan,nan,1.5704774927257,0.63674901718229,12,2,2,22,9.3561260579838e-08,9.3561260579838e-08,-16.18464942183,1,24
0.9,50,-5.8630689741628,nan,nan,nan,1.5704774927257,0.63674901718229,12,2,2,23,5.0262058267075e-08,5.0262058267075e-08,-16.80601535328,1,24
0.9,50,-5.8630689741628,nan,nan,nan,1.5704774927257,0.63674901718229,12,2,2,24,2.700291516151e-08,2.700291516151e-08,-17.427321007825,1,24
0.95,50,-4.5459125776869,nan,nan,nan,1.2500956374589,0.79993879670899,12,2,2,1,0.063324539035072,0.063324539035072,-2.7594823624723,1,24
0.95,50,-4.5459125776869,nan,nan,nan,1.2500956374589,0.79993879670899,12,2,2,2,0.026198863965486,0.026198863965486,-3.6420392292511,1,24
0.95,50,-4.5459125776869,nan,nan,nan,1.2500956374589,0.79993879670899,12,2,2,3,0.010894323501258,0.010894323501258,-4.519513405101,1,24
0.95,50,-4.5459125776869,nan,nan,nan,1.2500956374589,0.79993879670899,12,2,2,4,0.0046349892912152,0.0046349892912152,-5.3741213903844,1,24
0.95,50,-4.5459125776869,nan,nan,nan,1.2500956374589,0.79993879670899,12,2,2,5,0.0020116721762531,0.0020116721762531,-6.2087889742877,1,24
0.95,50,-4.5459125776869,nan,nan,nan,1.2500956374589,0.79993879670899,12,2,2,6,0.00088633393256645,0.00088633393256645,-7.0284167793086,1,24
0.95,50,-4.5459125776869,nan,nan,nan,1.2500956374589,0.79993879670899,12,2,2,7,0.00039460772765025,0.00039460772765025,-7.8376183810646,1,24
