g,N,E0,E1,gap,xi_gap,xi_corr,m_corr,xi_transfer,m_transfer,i0,comp_i,comp_j,r,corr,abs_corr,log_abs_corr,rMin,rMax
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,80,0.039979307436403,0.039979307436403,-3.2193932728112,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,81,0.039470148941944,0.039470148941944,-3.2322106157664,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,82,0.038967832888955,0.038967832888955,-3.2450187709044,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,83,0.038474175819428,0.038474175819428,-3.2577680206841,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,84,0.037986200466334,0.037986200466334,-3.2705323308319,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,85,0.037504876151074,0.037504876151074,-3.2832843237637,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,86,0.037031663027576,0.037031663027576,-3.2959819747875,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,87,0.036566317400104,0.036566317400104,-3.3086277519159,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,88,0.036107266296895,0.036107266296895,-3.3212611514354,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,89,0.035655846235182,0.035655846235182,-3.3338421558,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,90,0.035211522400201,0.035211522400201,-3.3463819090276,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,91,0.034774358020996,0.034774358020996,-3.3588750022777,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,92,0.034341272350414,0.034341272350414,-3.3714073726438,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,93,0.033915020172544,0.033915020172544,-3.3838972897871,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,94,0.033494641298885,0.033494641298885,-3.3963698141736,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,95,0.033079914751083,0.033079914751083,-3.4088289858831,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,96,0.032668234146557,0.032668234146557,-3.4213521060526,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,97,0.032260304127466,0.032260304127466,-3.4339177789437,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,98,0.031857712835631,0.031857712835631,-3.446475765036,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,99,0.031458587569855,0.031458587569855,-3.459083278423,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,100,0.031063645835305,0.031063645835305,-3.4717170877475,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,101,0.030674503839863,0.030674503839863,-3.4843234632556,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,102,0.030287630330067,0.030287630330067,-3.4970158897512,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,103,0.029904432602431,0.029904432602431,-3.5097485620001,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,104,0.029525231836756,0.029525231836756,-3.5225100647109,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,105,0.029150411657857,0.029150411657857,-3.5352862442319,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,106,0.028778045436062,0.028778045436062,-3.548142493795,1,160
